name,designation,@image
Dr. Tessy Mathew,Associate Professor & Head,F:/Downloads/files/TESSY.MATHEW.jpg
Dr. R. Vikraman Nair,Professor,F:/Downloads/files/VIKRAMAN.NAIR_.jpg
Prof. Raju K Gopal,Professor & Head ITMS,F:/Downloads/files/Prof.-Raju-K-Gopal.png
Ms. S. Asha,Associate Professor,F:/Downloads/files/ASHA.S.jpg
Ms. Elizabeth B. Varghese,Assistant Professor,F:/Downloads/files/ELIZABETH.BV_.jpg
Mr. G. L. Praveen,Assistant Professor,F:/Downloads/files/PRAVEEN.GL_.jpg
Mr. V. S. Shibu,Assistant Professor,F:/Downloads/files/SHIBU.VS_.jpg
Ms. V. S. Devipriya,Assistant Professor,F:/Downloads/files/DEVIPRIYA.VS_.jpg
Ms. Anne Dickson,Assistant Professor,F:/Downloads/files/photo-Ann-1.jpg
Ms. Poorna B.R,Assistant Professor,F:/Downloads/files/POORNA.BR_.jpg
Ms. Divya R. S,Assistant Professor,F:/Downloads/files/DIVYA.RS_.jpg
Dr. Jisha John,Associate Professor,F:/Downloads/files/jisha-1.jpg
Mr. Shon J Das,Assistant Professor,F:/Downloads/files/Shon.jpg
Ms. Merin Kuriakose,Assistant Professor,F:/Downloads/files/MERIN.KURIAKOSE.jpg
Ms. Anjali C,Assistant Professor,F:/Downloads/files/Anjali.jpg
Mr. Robin Joseph,Assistant Professor,F:/Downloads/files/ROBIN.JOSEPH.jpg
Ms. Aswathy Ravikumar,Assistant Professor,F:/Downloads/files/ASWATHY.RAVIKUMAR-1.jpg
Ms. Gayathri K. S.,Assistant Professor,F:/Downloads/files/1821-copy.jpg
Mr. Binu Jose A.,Assistant Professor,F:/Downloads/files/binu-jose-photo-1.jpg
Ms. Jisha Jose,Assistant Professor,F:/Downloads/files/jisha-jose-new.jpg
Ms. Shini Renjith,Assistant Professor,F:/Downloads/files/Shini_Profile_Photo-1.jpg
Ms. Kiran Baby,Assistant Professor,F:/Downloads/files/kiran-photo.jpg
Ms. Jayalekshmi J,Assistant Professor,F:/Downloads/files/jayalekshmi-photo.jpg
Mr. Ramjith,Assistant Professor,F:/Downloads/files/Ramjith.jpg
Dr. Jesna Mohan,Assistant Professor,F:/Downloads/files/jesna-mohan.jpg
Ms. Anjali S,Assistant Professor,F:/Downloads/files/Anjali-S-scaled.jpg
Ms. Dhanya L K,Assistant Professor,F:/Downloads/files/ms-dhanya.jpg
Ms.Vinny Pious,Assistant Professor,F:/Downloads/files/Ms.Vinny-Pious.jpg
Ms. Linu Mole K C,Lab Instructor (Sr),F:/Downloads/files/Linu-Mole-K-C.jpg
Ms. Naicy M John,Lab instructor Grade-1,F:/Downloads/files/naicy-photo.png
Ms Priya.G,Lab instructor Grade 1,F:/Downloads/files/Ms-Priya-1.jpg
Ms. Rejani L,Lab Instructor Grade 1,F:/Downloads/files/Rejani.L.jpg
Ms. Vichithra V R,Lab Assistant Grade 1,F:/Downloads/files/vichithra-photo.jpg
